year,fcode,employ,sales,avgsal,scrap,rework,tothrs,union,grant,d89,d88,totrain,hrsemp,lscrap,lemploy,lsales,lrework,lhrsemp,lscrap_1,grant_1,clscrap,cgrant,clemploy,clsales,lavgsal,clavgsal,cgrant_1,chrsemp,clhrsemp
1987,410536,15,1502502,11742,#N/A,#N/A,12,0,0,0,0,2,1.600000024,#N/A,2.708050251,14.22264194,#N/A,0.955511451,#N/A,0,#N/A,0,#N/A,#N/A,9.370927811,#N/A,#N/A,#N/A,#N/A
1988,410536,16,1840912,12740,#N/A,#N/A,12,0,0,0,1,2,1.5,#N/A,2.77258873,14.42577171,#N/A,0.91629076,#N/A,0,#N/A,0,0.064538479,0.203129768,9.452502251,0.08157444,0,-0.100000024,-0.039220691
1989,410536,18,2273869,13700,#N/A,#N/A,8,0,0,1,0,3,1.333333373,#N/A,2.890371799,14.63699341,#N/A,0.847297907,#N/A,0,#N/A,0,0.11778307,0.211221695,9.525151253,0.072649002,0,-0.166666627,-0.068992853
1987,410538,#N/A,#N/A,19760,2.640000105,#N/A,0,1,0,0,0,0,#N/A,0.970778942,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,9.891414642,#N/A,#N/A,#N/A,#N/A
1988,410538,#N/A,6276271,20800,2.74000001,#N/A,0,1,0,0,1,0,#N/A,1.007957935,#N/A,15.65228653,#N/A,#N/A,0.970778942,0,0.037178993,0,#N/A,#N/A,9.942708015,0.051293373,0,#N/A,#N/A
1989,410538,60,5286605,20800,2.539999962,#N/A,30,1,0,1,0,50,25,0.932164073,4.094344616,15.48068714,#N/A,3.258096457,1.007957935,0,-0.075793862,0,#N/A,-0.171599388,9.942708015,0,0,#N/A,#N/A
1987,410540,50,5200000,20000,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,3.912023067,15.4641695,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.903487206,#N/A,#N/A,#N/A,#N/A
1988,410540,50,6500000,23000,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,3.912023067,15.68731308,#N/A,0,#N/A,0,#N/A,0,0,0.223143578,10.04324913,0.139761925,0,0,0
1989,410540,55,5600000,25000,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,4.007333279,15.53827763,#N/A,0,#N/A,0,#N/A,0,0.095310211,-0.149035454,10.12663078,0.083381653,0,0,0
1987,410544,30,#N/A,19760,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,3.401197433,#N/A,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.891414642,#N/A,#N/A,#N/A,#N/A
1988,410544,32,#N/A,20280,#N/A,#N/A,10,0,0,0,1,4,1.25,#N/A,3.465735912,#N/A,#N/A,0.810930192,#N/A,0,#N/A,0,0.064538479,#N/A,9.917390823,0.025976181,0,1.25,0.810930192
1989,410544,34,#N/A,20800,#N/A,#N/A,10,0,0,1,0,6,1.764705896,#N/A,3.526360512,#N/A,#N/A,1.016934276,#N/A,0,#N/A,0,0.060624599,#N/A,9.942708015,0.025317192,0,0.514705896,0.206004083
1987,410546,153,10000000,12500,#N/A,#N/A,8,0,0,0,0,7,0.36601308,#N/A,5.030437946,16.1180954,#N/A,0.311896324,#N/A,0,#N/A,0,#N/A,#N/A,9.433484077,#N/A,#N/A,#N/A,#N/A
1988,410546,134,11000000,13000,#N/A,#N/A,8,0,0,0,1,6,0.358208954,#N/A,4.897840023,16.21340561,#N/A,0.306166887,#N/A,0,#N/A,0,-0.132597923,0.095310211,9.472704887,0.03922081,0,-0.007804126,-0.005729437
1989,410546,146,12000000,13500,#N/A,#N/A,40,0,0,1,0,28,7.6712327,#N/A,4.983606815,16.30041695,#N/A,2.160011053,#N/A,0,#N/A,0,0.085766792,0.087011337,9.510444641,0.037739754,0,7.313023567,1.853844166
1987,410547,20,2300000,20000,#N/A,10,0,0,0,0,0,0,0,#N/A,2.995732307,14.64841938,2.302585125,0,#N/A,0,#N/A,0,#N/A,#N/A,9.903487206,#N/A,#N/A,#N/A,#N/A
1988,410547,23,2500000,23000,#N/A,10,0,0,0,0,1,0,0,#N/A,3.135494232,14.73180103,2.302585125,0,#N/A,0,#N/A,0,0.139761925,0.083381653,10.04324913,0.139761925,0,0,0
1989,410547,25,3000000,25000,#N/A,10,48,0,0,1,0,1,1.919999957,#N/A,3.218875885,14.91412258,2.302585125,1.071583629,#N/A,0,#N/A,0,0.083381653,0.182321548,10.12663078,0.083381653,0,1.919999957,1.071583629
1987,410556,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1988,410556,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A
1989,410556,131,7588770,16640,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,4.875197411,15.84218025,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.719564438,#N/A,0,#N/A,#N/A
1987,410560,22,725000,9000,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,3.091042519,13.493927,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.104979515,#N/A,#N/A,#N/A,#N/A
1988,410560,25,785000,9000,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,3.218875885,13.57343864,#N/A,0,#N/A,0,#N/A,0,0.127833366,0.079511642,9.104979515,0,0,0,0
1989,410560,23,785000,10000,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,3.135494232,13.57343864,#N/A,0,#N/A,0,#N/A,0,-0.083381653,0,9.2103405,0.105360985,0,0,0
1987,410561,6,501859,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,1.791759491,13.12607479,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1988,410561,6,580415,#N/A,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,1.791759491,13.27149868,#N/A,0,#N/A,0,#N/A,0,0,0.145423889,#N/A,#N/A,0,0,0
1989,410561,9,735442,#N/A,#N/A,#N/A,64,0,0,1,0,1,7.111111164,#N/A,2.197224617,13.50822735,#N/A,2.093234777,#N/A,0,#N/A,0,0.405465126,0.236728668,#N/A,#N/A,0,7.111111164,2.093234777
1987,410562,15,4000000,32000,#N/A,#N/A,10,0,0,0,0,2,1.333333373,#N/A,2.708050251,15.20180511,#N/A,0.847297907,#N/A,0,#N/A,0,#N/A,#N/A,10.37349129,#N/A,#N/A,#N/A,#N/A
1988,410562,18,5000000,34000,#N/A,#N/A,10,0,0,0,1,2,1.111111164,#N/A,2.890371799,15.42494869,#N/A,0.747214437,#N/A,0,#N/A,0,0.182321548,0.223143578,10.43411541,0.060624123,0,-0.222222209,-0.10008347
1989,410562,19,7000000,38000,#N/A,#N/A,25,0,0,1,0,6,7.894736767,#N/A,2.944438934,15.76142025,#N/A,2.185459614,#N/A,0,#N/A,0,0.054067135,0.336471558,10.54534149,0.111226082,0,6.783625603,1.438245177
1987,410563,73,5300000,21500,6,#N/A,0,1,0,0,0,0,0,1.791759491,4.290459633,15.48321724,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.975808144,#N/A,#N/A,#N/A,#N/A
1988,410563,76,5800000,22200,7,#N/A,0,1,0,0,1,0,0,1.945910096,4.330733299,15.57336807,#N/A,0,1.791759491,0,0.154150605,0,0.040273666,0.090150833,10.00784779,0.032039642,0,0,0
1989,410563,80,6400000,23000,5,#N/A,50,1,0,1,0,8,5,1.609437943,4.382026672,15.67180824,#N/A,1.791759491,1.945910096,0,-0.336472154,0,0.051293373,0.09844017,10.04324913,0.035401344,0,5,1.791759491
1987,410564,160,#N/A,20000,#N/A,4.300000191,20,0,0,0,0,15,1.875,#N/A,5.075173855,#N/A,1.458615065,1.056052685,#N/A,0,#N/A,0,#N/A,#N/A,9.903487206,#N/A,#N/A,#N/A,#N/A
1988,410564,150,#N/A,21000,#N/A,4.099999905,20,0,0,0,1,20,2.666666746,#N/A,5.010635376,#N/A,1.4109869,1.299283028,#N/A,0,#N/A,0,-0.064538479,#N/A,9.952278137,0.048790932,0,0.791666746,0.243230343
1989,410564,150,#N/A,22000,#N/A,4,25,0,0,1,0,35,5.833333492,#N/A,5.010635376,#N/A,1.386294365,1.921812654,#N/A,0,#N/A,0,0,#N/A,9.998797417,0.046519279,0,3.166666746,0.622529626
1987,410565,90,#N/A,20620,21,#N/A,0,1,0,0,0,0,0,3.044522524,4.499809742,#N/A,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.934017181,#N/A,#N/A,#N/A,#N/A
1988,410565,112,21780000,20180,11,#N/A,0,1,0,0,1,0,0,2.397895336,4.718498707,16.89650345,#N/A,0,3.044522524,0,-0.646627188,0,0.218688965,#N/A,9.912446976,-0.021570206,0,0,0
1989,410565,128,25829000,21500,0.400000006,#N/A,16,1,0,1,0,128,16,-0.9162907,4.852030277,17.06700897,#N/A,2.833213329,2.397895336,0,-3.314186096,0,0.13353157,0.170505524,9.975808144,0.063361168,0,16,2.833213329
1987,410566,14,2101581,14850,7,#N/A,8,0,0,0,0,12,6.857142925,1.945910096,2.639057398,14.55820084,#N/A,2.061423063,#N/A,0,#N/A,0,#N/A,#N/A,9.605754852,#N/A,#N/A,#N/A,#N/A
1988,410566,16,2400723,18100,5,#N/A,3,0,0,0,1,10,1.875,1.609437943,2.77258873,14.69128036,#N/A,1.056052685,1.945910096,0,-0.336472154,0,0.133531332,0.133079529,9.803667068,0.197912216,0,-4.982142925,-1.005370378
1989,410566,13,2470633,20500,4.5,#N/A,4,0,0,1,0,10,3.076923132,1.504077435,2.564949274,14.71998501,#N/A,1.405342579,1.609437943,0,-0.105360508,0,-0.207639456,0.028704643,9.928179741,0.124512672,0,1.201923132,0.349289894
1987,410567,40,3000000,10000,1,0.5,0,0,0,0,0,0,0,0,3.68887949,14.91412258,-0.693147182,0,#N/A,0,#N/A,0,#N/A,#N/A,9.2103405,#N/A,#N/A,#N/A,#N/A
1988,410567,48,3800000,11000,0.5,0.25,0,0,0,0,1,0,0,-0.693147182,3.871201038,15.15051174,-1.386294365,0,0,0,-0.693147182,0,0.182321548,0.23638916,9.305650711,0.095310211,0,0,0
1989,410567,50,3100000,11500,0.280000001,0.129999995,16,0,0,1,0,50,16,-1.27296567,3.912023067,14.94691277,-2.040220976,2.833213329,-0.693147182,0,-0.579818487,0,0.040822029,-0.203598976,9.350102425,0.044451714,0,16,2.833213329
1987,410569,20,#N/A,26000,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,2.995732307,#N/A,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,10.16585159,#N/A,#N/A,#N/A,#N/A
1988,410569,24,#N/A,28000,#N/A,#N/A,0,0,0,0,1,0,0,#N/A,3.178053856,#N/A,#N/A,0,#N/A,0,#N/A,0,0.182321548,#N/A,10.23995972,0.074108124,0,0,0
1989,410569,30,#N/A,30000,#N/A,#N/A,0,0,0,1,0,0,0,#N/A,3.401197433,#N/A,#N/A,0,#N/A,0,#N/A,0,0.223143578,#N/A,10.30895233,0.068992615,0,0,0
1987,410571,17,755050,10400,#N/A,0.01,25,0,0,0,0,17,25,#N/A,2.833213329,13.53453922,-4.60517025,3.258096457,#N/A,0,#N/A,0,#N/A,#N/A,9.24956131,#N/A,#N/A,#N/A,#N/A
1988,410571,15,1102723,10400,#N/A,0.01,25,0,0,0,1,15,25,#N/A,2.708050251,13.91329288,-4.60517025,3.258096457,#N/A,0,#N/A,0,-0.125163078,0.378753662,9.24956131,0,0,0,0
1989,410571,20,1073785,10400,#N/A,0.01,25,0,0,1,0,10,12.5,#N/A,2.995732307,13.88670063,-4.60517025,2.602689743,#N/A,0,#N/A,0,0.287682056,-0.026592255,9.24956131,0,0,-12.5,-0.655406713
1987,410577,75,4750000,16120,1.679999948,1.889999986,3,0,0,0,0,30,1.200000048,0.518793762,4.317488194,15.37365532,0.636576831,0.788457394,#N/A,0,#N/A,0,#N/A,#N/A,9.687815666,#N/A,#N/A,#N/A,#N/A
1988,410577,80,5100000,16432,1.570000052,1.75999999,4,0,0,0,1,35,1.75,0.451075643,4.382026672,15.44475079,0.565313816,1.011600971,0.518793762,0,-0.067718118,0,0.064538479,0.071095467,9.706985474,0.019169807,0,0.549999952,0.223143578
1989,410577,94,5500000,16640,1.639999986,1.820000052,4,0,0,1,0,35,1.489361644,0.49469623,4.543294907,15.5202589,0.598836541,0.912026286,0.451075643,0,0.043620586,0,0.161268234,0.075508118,9.719564438,0.012578964,0,-0.260638356,-0.099574685
1987,410586,116,11000000,23500,#N/A,#N/A,47,0,0,0,0,96,38.89655304,#N/A,4.753590107,16.21340561,#N/A,3.686290026,#N/A,0,#N/A,0,#N/A,#N/A,10.06475544,#N/A,#N/A,#N/A,#N/A
1988,410586,114,11000000,24000,#N/A,#N/A,47,0,0,0,1,94,38.7543869,#N/A,4.736198425,16.21340561,#N/A,3.682720184,#N/A,0,#N/A,0,-0.017391682,0,10.08580875,0.021053314,0,-0.142166138,-0.003569841
1989,410586,119,11000000,24600,#N/A,#N/A,47,0,0,1,0,99,39.10084152,#N/A,4.779123306,16.21340561,#N/A,3.691397429,#N/A,0,#N/A,0,0.042924881,0,10.11050129,0.024692535,0,0.34645462,0.008677244
1987,410591,25,#N/A,12180,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,3.218875885,#N/A,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,9.407550812,#N/A,#N/A,#N/A,#N/A
1988,410591,33,#N/A,13000,#N/A,#N/A,50,0,0,0,1,1,1.515151501,#N/A,3.496507645,#N/A,#N/A,0.922333062,#N/A,0,#N/A,0,0.27763176,#N/A,9.472704887,0.065154076,0,1.515151501,0.922333062
1989,410591,37,#N/A,14500,#N/A,#N/A,40,0,0,1,0,2,2.162162066,#N/A,3.610917807,#N/A,#N/A,1.151255965,#N/A,0,#N/A,0,0.114410162,#N/A,9.581903458,0.10919857,0,0.647010565,0.228922904
1987,410592,20,#N/A,#N/A,30,40,#N/A,0,0,0,0,20,#N/A,3.401197433,2.995732307,#N/A,3.68887949,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1988,410592,20,#N/A,#N/A,24,27,#N/A,0,0,0,1,20,#N/A,3.178053856,2.995732307,#N/A,3.295836926,#N/A,3.401197433,0,-0.223143578,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A
1989,410592,10,#N/A,#N/A,20,15,#N/A,0,0,1,0,10,#N/A,2.995732307,2.302585125,#N/A,2.708050251,#N/A,3.178053856,0,-0.182321548,0,-0.693147182,#N/A,#N/A,#N/A,0,#N/A,#N/A
1987,410593,5,3500000,#N/A,1,#N/A,0,0,0,0,0,0,0,0,1.609437943,15.06827354,#N/A,0,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1988,410593,5,3800000,#N/A,1,#N/A,0,0,0,0,1,0,0,0,1.609437943,15.15051174,#N/A,0,0,0,0,0,0,0.082238197,#N/A,#N/A,0,0,0
1989,410593,5,4000000,#N/A,1,#N/A,0,0,0,1,0,0,0,0,1.609437943,15.20180511,#N/A,0,0,0,0,0,0,0.051293373,#N/A,#N/A,0,0,0
1987,410596,8,990400,12480,10,#N/A,10,0,0,0,0,8,10,2.302585125,2.079441547,13.80586433,#N/A,2.397895336,#N/A,0,#N/A,0,#N/A,#N/A,9.431882858,#N/A,#N/A,#N/A,#N/A
1988,410596,16,1166100,13520,6,#N/A,12,0,0,0,1,16,12,1.791759491,2.77258873,13.96917534,#N/A,2.564949274,2.302585125,0,-0.510825634,0,0.693147182,0.163311005,9.511925697,0.080042839,0,2,0.167053938
1989,410596,20,1815900,14560,4,#N/A,14,0,0,1,0,20,14,1.386294365,2.995732307,14.41209221,#N/A,2.708050251,1.791759491,0,-0.405465126,0,0.223143578,0.44291687,9.586032867,0.07410717,0,2,0.143100977
1987,410603,10,1212478,12700,#N/A,#N/A,105,0,0,0,0,4,42,#N/A,2.302585125,14.0081768,#N/A,3.76120019,#N/A,0,#N/A,0,#N/A,#N/A,9.449357033,#N/A,#N/A,#N/A,#N/A
1988,410603,14,1159622,13600,#N/A,#N/A,105,0,0,0,1,3,22.5,#N/A,2.639057398,13.96360493,#N/A,3.157000303,#N/A,0,#N/A,0,0.336472273,-0.044571877,9.517825127,0.068468094,0,-19.5,-0.604199886
1989,410603,17,1612170,14900,#N/A,#N/A,#N/A,0,0,1,0,0,#N/A,#N/A,2.833213329,14.29309177,#N/A,#N/A,#N/A,0,#N/A,0,0.194155931,0.329486847,9.609116554,0.091291428,0,#N/A,#N/A
